,caso,fecha,informacion,link,localidad,partido,provincia
15,16,2006/2003,"Imputado el actual alcalde, Francisco González y la teniente alcalde Onalia Bueno, por irregularidades urbanísticas con una empresa hotelera. Se les imputan delitos de prevaricación, malversación de caudales públicos, actividades y negociaciones prohibidas a funcionarios públicos, y tráfico de influencias[4]
Francisco González vuelve a ser candidato a la alcaldía en 2011.",http://www.elmundo.es/elmundo/2007/01/23/espana/1169542597.html,Mogán (Gran Canaria),PP,Las Palmas
16,17,2006 Noviembre,"Caso Faycán. Detenido el entonces alcalde, Francisco Valido, y cinco concejales por soborno, blanqueo, prevaricación y tráfico de influencias.
[5]María del Carmen Castellano, una de las imputadas, candidata a la alcaldía. Tras las elecciones, y pese a no conseguir mayoría, su partido (PP), en coalición con otros, desbanca al partido más votado y dicha imputada es elegida alcaldesa de Telde. El caso Faycán continua pendiente de juicio.",http://matutinocanario.es/not/1302/castellano_imputada_en_faycan_candidata_del_pp_a_la_alcaldia_de_telde/,Telde (Gran Canaria),PP,Las Palmas
17,18,2008 Abril,Condenado el ex alcalde a siete años de inhabilitación por prevaricación.[6],http://www.eldia.es/2008-04-26/canarias/canarias21.htm,Santa Brígida (Gran Canaria),PP,Las Palmas
18,19,2007,"Imputado el ex alcalde, Arturo González, el ex interventor y dos empresarios por prevaricación, malversación y tráfico de influencias.",,San Miguel (Tenerife),Coalición Canaria,Santa Cruz de Tenerife
19,20,2001,"Imputado el alcalde Miguel Zerolo y otras 15 personas en Caso Las Teresitas: cohecho, prevaricación y malversación por la compraventa del frente costero de la Playa de Las Teresitas. 52,6 mill. de euros.",,Santa Cruz de Tenerife,Coalición Canaria,Santa Cruz de Tenerife
20,21,2007,"Imputado el ex alcalde Jaime González, y tres concejales por prevaricación en la contratación de un complejo fotovoltaico en la pasada legislatura.",,Granadilla (Tenerife),PSOE,Santa Cruz de Tenerife
21,22,2009 Febrero,"Imputados todos los miembros (13) de la corporación socialista por prevaricación y tráfico de influencias en la aprobación del Plan Parcial El Varadero.
Macario Benítez Gil, uno de los imputados, es cabeza de lista en las elecciones de 2011.",http://www.eldigitaldecanarias.net/noticia44127.php,El Rosario (Tenerife),PSOE,Santa Cruz de Tenerife
22,23,2007/2003,"Imputado el alcalde Alberto González Reverón, por prevaricación, tráfico de influencias y malversación de fondos públicos.
Vuelve a ser candidato en las elecciones de 2011.",http://www.losrealejos.biz/article-33273857.html,Arona (Tenerife),Coalición Canaria,Santa Cruz de Tenerife
23,24,2006 Diciembre,"Imputado el alcalde, Isaac Valencia, por prevaricación y tráfico de influencias en el caso ""El Trompo""",,La Orotava (Tenerife),Coalición Canaria,Santa Cruz de Tenerife
24,25,2008 Mayo,Imputado el alcalde y dos concejales por cohecho y tráfico de influencias.,,Pajara (Fuerteventura),PSOE,Las Palmas
25,26,2007 Abril,"Javier Trujillo, ex consejero insular, imputado por prevaricación y tráfico de influencias. Se investiga al presidente del Cabildo.",,La Gomera,PSOE,Santa Cruz de Tenerife
26,27,2008,Entre la veintena de imputados figuran concejales de Arrecife y consejeros del Cabildo. Cohecho en la concesión de licencias.,,Arrecife (Lanzarote),PIL y PSOE,Las Palmas
27,28,2009 Septiembre,"Detenidos el ex alcalde y dos de sus hijos. Concesión de licencias de forma irregular para proyectos hoteleros, malversación y blanqueo.",,Yaiza (Lanzarote),Nueva Canarias,Las Palmas
28,29,2006 Noviembre,Imputado el ex alcalde por prevaricación en la concesión de licencias urbanísticas en la legislatura pasada.,,Teguise (Lanzarote),Coalición Canaria,Las Palmas
29,30,2009 Octubre,"Dos ex altos cargos de Pujol y cuatro socialistas, entre ellos el alcalde  de Sta. Coloma, están imputados  por asociación ilícita, blanqueo y tráfico de influencias entre otros. Modificaciones de los planes de ordenación urbana.",,Sta. Coloma de Gramanet,CIU y PSC,Barcelona
30,31,2009 Octubre,"Dos ex altos cargos de Pujol y cuatro socialistas, entre ellos el alcalde  de Sta. Coloma, están imputados  por asociación ilícita, blanqueo y tráfico de influencias entre otros. Modificaciones de los planes de ordenación urbana.",,Sant Andreu de Llavaneres,CIU y PSC,Barcelona
31,32,2009 Octubre,"Dos ex altos cargos de Pujol y cuatro socialistas, entre ellos el alcalde  de Sta. Coloma, están imputados  por asociación ilícita, blanqueo y tráfico de influencias entre otros. Modificaciones de los planes de ordenación urbana.",,Badalona,CIU y PSC,Barcelona
32,33,2009 Febrero,"Imputado el alcalde, Fernando Muguruza, que está en libertad con cargos, y el ex concejal de Obras Rufino Díaz Helguera. Delitos de prevaricación, falsedad y malversación. Irregularidades en la construcción de una promoción de viviendas.",,Castro Urdiales,Ningun Partido,Cantabria
33,34,2011 Febrero," * El Juzgado de lo Penal número 3 de Santander condena a año y medio de cárcel y nueve de inhabilitación al alcalde de Piélagos, Jesús Ángel Pacheco, por un delito continuado contra la ordenación del territorio, en su modalidad de prevaricación urbanística.
Ignacio Diego, presidente del PP de Cantabria, apoya al alcalde condenado [7]",http://www.20minutos.es/noticia/971578/0/,Piélagos,PP,Cantabria
34,35,2009 Marzo,"La alcaldesa, María Victoria Pinilla, y un concejal entre los 35 imputados. Once delitos: blanqueo de capitales, cohecho, tráfico de influencias... Trama de corrupción urbanística.  http://www.europapress.es/nacional/noticia-av-22-alcaldesa-muela-zaragoza-imputada-once-delitos-no-presenta-reeleccion-20110408141040.html",http://www.europapress.es/nacional/noticia-av-22-alcaldesa-muela-zaragoza-imputada-once-delitos-no-presenta-reeleccion-20110408141040.html,La Muela,PAR,Zaragoza
35,36,2003,"El alcalde, José Luis Villegas, imputado. Desvío de 4,4 mill. de euros de fondos públicos y apropiación de otros 66.000 por una residencia y un polideportivo. Prevaricación, malversación, estafa y delitos urbanísticos.",,Plasenzuela,PSOE,Cáceres
