,caso,fecha,informacion,link,localidad,partido,provincia
235,236,2011 Marzo 19,La sección de Enjuiciamiento del Tribunal de Cuentas condena a los concejales del PP de Pinto Tamara Rabaneda y Juan Antonio Padilla a pagar 10.186 euros tras considerarles responsables directos y solidarios de un presunto alcance de fondos municipales cuando estaban en el Gobierno.http://www.abc.es/agencias/noticia.asp?noticia=789397,http://www.abc.es/agencias/noticia.asp?noticia=789397,Pinto,PP,Madrid
236,237,2011,"Bartomeu Vicens, el exconseller de Ordenación del Territorio en el anterior Consell de Mallorca y antiguo diputado de UM en esta legislatura, acusado de blanqueo de dinero por ocultar en la cárcel de Palma once mil euros en billetes de 500 euros [61]",http://www.diariodemallorca.es/mallorca/2011/04/15/intervienen-vicens-carcel-11000-euros-billetes/661761.html,Mallorca,Unió Mallorquina,Mallorca
237,238,2007,"El exalcalde del PAR, José Miguel Ezquerra, y su equipo de gobierno han sido imputados por corrupción urbanística por el Juzgado de Instrucción número 11 de Zaragoza.  http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=336125",http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=336125,Pastriz,PAR,Zaragoza
238,239,1999,"El Alcalde, Primer Teniente de Alcalde y Concejal de Urbanismo junto con un numeroso número excesivo de miembros del Gobierno de Canarias (32), entre los que se encuentra Miguel Ángel Pulido, Viceconsejero de Medio Ambiente de Política Territorial del Gobierno de Canarias, están imputadas por corrupción urbanística por el Juzgado de Instrucción número 2 de Los Llanos de Aridane.
[62]",http://www.eldia.es/2009-07-01/palma/0-Acaban-diligencias-previas-caso-Tarajales-interrogatorios.htm,Los Tarajales - Tazacorte (La Palma),Unión Bagañeta-Coalición Canaria (UB-CC),Santa Cruz de Tenerife
239,240,2006,"Cristina Ruiz, presuntamente implicada en un ERE irregular que en 2006 se tramitó en la Fundación para la Promoción del Minusválido (Promi), de la que ella era gerente. [63]",http://www.elpais.com/articulo/espana/candidata/PP/Cordoba/implicada/ERE/presenta/renuncia/elpepuesp/20110425elpepunac_13/Tes,Córdoba,PP,Córdoba
240,241,2011,"Raimundo González, concejal de Facenda y Medio Ambiente, imputado por prevaricación y fraude. [64]",http://www.lavozdegalicia.es/galicia/2011/04/14/0003_201104G14P6992.htm,Pontevedra,BNG,Pontevedra
241,243,2011,"Imputada la concejal Ángela Mena (esposa del presidente del Gobierno Canario, Paulino Rivero) por prevaricación continuada",http://www.canariasahora.es/noticia/179439/,Santa Cruz de Tenerife,CC,Santa Cruz de Tenerife
242,244,2011,"Pagado con dinero público el hotel que utilizó en sus vacaciones Tomás Burgos, portavoz adjunto del PP en el Senado
El PP reconoce los hechos y dice que se trató de un error",http://www.canariasahora.es/noticia/178969/,Fuerteventura,PP,Las Palmas
243,245,2011,El PSOE ampara la corrupción en Aragón expulsando al denunciante. Denuncias por falsedad en documento público contra Leire Pajin y Marcelino Iglesias. http://www.youtube.com/watch?v=fZ0hfAN_CtE,http://www.youtube.com/watch?v=fZ0hfAN_CtE,Zaragoza,PSOE,Aragón
244,246,2011,"El PNV se queda solo mientras todos los grupos exigen datos sobre Epsilon
El PNV cambió su voto para impedir investigar Epsilon",http://www.elpais.com/articulo/pais/vasco/PNV/queda/solo/mientras/todos/grupos/exigen/datos/Epsilon/elpepiesppvs/20110406elpvas_9/Tes,Miñano (Caso Epsilon),PNV,Álava-Araba
245,247,2011,"Los exgestores de Miñano no declaran en el Parlamento por estar imputados
Citas en el batzoki con un asesor del PNV como «intermediario»",http://www.elcorreo.com/vizcaya/v/20110405/politica/exgestores-minano-declaran-parlamento-20110405.html,Miñano (Caso Miñano),PNV,Álava-Araba
246,248,2011,"Tellería declara que el PNV le encargaba investigar «anónimos» sobre rivales políticos
El juez rechaza archivar el espionaje como pedían Tellería y los ertzainas",http://www.elcorreo.com/vizcaya/v/20110115/politica/telleria-declara-encargaba-investigar-20110115.html,Euskadi,PNV,Álava-Araba
247,249,2011,Antton Zubiaurre explicará en la comisión porqué Sprilur perdió cinco millones,http://www.elmundo.es/elmundo/2011/03/31/paisvasco/1301597653.html,Euskadi,PNV,Bizkaia
248,250,2009,"El alcalde de Mallén, el socialista Antonio Asín, pactó el abono de comisiones por la reventa del suelo de la plataforma logística con una empresa, Mallén 3.000 SL, de la que era apoderado solidario y que, pese a ser privada, tenía como domicilio social la propia Casa Consistorial. [65]",http://www.heraldo.es/noticias/aragon/asin_pacto_comisiones_por_reventa_suelo_con_una_firma_que_era_apoderado.html,Zaragoza,PSOE,Mallen
249,251,2011," Antonio Asín, alcalde de Mallen compadece ante el Juzgado de instrucción nº 9 de Zaragoza imputado por prevaricación y falsedad documental tras haber autorizado la construcción del Centro de Ocio en suelo privado sin contar con la autorización de los propietarios. Heraldo de Aragón, jueves 28 de abril de 2011.",,Zaragoza,PSOE,Mallen
250,252,2010," La Justicia investiga delitos del malversación y prevaricación en este ayuntamiento madrileño por contratos que suman 44 millones de euros, Francisco Ferrero, concejal de educación, deportes y festejos presenta su dimisión irrevocable [66]",http://www.cadenaser.com/espana/articulo/dimite-concejal-pp-arroyomolinos-gestion-alcalde/csrcsrpor/20100930csrcsrnac_2/Tes,Madrid,PP,Arroyomolinos
251,253,2011,La Fiscalía de Zaragoza ‘cerca’ a la candidata socialista de Aragón. El Ministerio Público ve delito en las obras del Museo Pablo Serrano que adjudicó Eva Almunia. El Tribunal de Cuentas prosigue con el proceso contable. [67],http://www.intereconomia.com/noticias-gaceta/politica/fiscalia-zaragoza-%E2%80%98cerca%E2%80%99-candidata-socialista-aragon-20110423,Aragón,PSOE,Zaragoza
252,254,2011,"José Ángel Biel, presidente del Partido Aragonés (PAR) y número dos del socialista Marcelino Iglesias en el Gobierno de Aragón, se embolsó presuntamente más de 500.000 euros en comisiones a cambio de acelerar los trámites para un macroproyecto urbanístico en La Muela. [68]",http://www.elconfidencial.com/en-exclusiva/2011/marcelino-iglesias-biel-aragon-comisiones-20110503-78146.html,Aragón,PAR,Zaragoza
253,255,2011,La Policía interviene el Ayuntamiento de Mallén por orden judicial. [69],http://www.heraldo.es/noticias/aragon/la_policia_interviene_ayuntamiento_mallen_por_orden_judicial.html,Aragón,PSOE,Zaragoza
254,256,2011,"Carlos Escó, marido de la candidata socialista en Aragón en las elecciones del próximo 22-M, Eva Almunia, y mano derecha del presidente autonómico y número tres del PSOE, Marcelino Iglesias, también cobró presuntamente comisiones a cambio de favores urbanísticos, [70]",http://www.elconfidencial.com/en-exclusiva/2011/marcelino-iglesias-esco-aragon-par-20110504-78214.html,Aragón,PSOE,Zaragoza
255,257,2011,El juzgado nº 10 de Zaragoza imputa a varios cargos electos del PAR en el Consistorio de Letux por supuestas irregularidades contables. [71],http://www.heraldo.es/noticias/el_alcalde_edil_secretario_letux_imputados_por_una_presunta_falsedad_documental.html,Zaragoza,PAR,Letux
256,258,2010,"Artur Mas,el líder de CiU era uno de los beneficiarios de los fondos evadidos por su progenitor en Liechstentein y Suiza, donde durante 24 años mantuvo dos cuentas opacas con casi dos millones. Al menos 500.000 euros estaban a su nombre. El juez Pedraz tuvo que proceder al archivo del delito, ya que al igual que en el caso Fabra, habían prescrito. [72] [La vanguardia 1/12/2008 http://www.lavanguardia.com/economia/noticias/20081201/53590711165/alejandro-sanz-entre-los-acusados-de-evadir-capitales-en-liechtenstein.html]",http://www.elperiodico.com/es/noticias/elecciones-28n/20101124/artur-mas-beneficiario-una-cuenta-opaca-liechtenstein-segun-mundo/595081.shtml,Cataluña,CiU,Barcelona
257,259,2006,"Felip Puig,actual conseller de Interior de la Generalitat catalana, y Oriol Pujol Ferrusola, hijo del ex presidente de la Generalitat, fueron imputados en el caso ADIGSA en relación con el supuesto pago de comisiones y otras ilegalidades en las obras de rehabilitación de las viviendas gestionadas por dicha empresa pública. [73]",http://www.elpais.com/articulo/cataluna/imputado/caso/Adigsa/implico/Felip/Puig/Oriol/Pujol/Ferrusola/ilegalidades/elpepuespcat/20060215elpcat_15/Tes,Cataluña,CiU,Barcelona
258,260,2010 Abril 30 (fecha tomada del enlace),"El ex-Alcalde del municipio, y el edil de urbanismo (actual candidato a la alcaldía) imputados en varios casos de corrupción urbanística
http://elguadarramista.com/2010/04/30/el-peso-de-la-ley-cae-sobre-fernandez-rubio/
http://nihillo.tumblr.com/post/5337656886/los-123-candidatos-imputados-hazte-con-todos",http://elguadarramista.com/2010/04/30/el-peso-de-la-ley-cae-sobre-fernandez-rubio/,Guadarrama,PP,Madrid
259,261,2011,"PSOE - PAR Un bipartito corrupto donde el juego es quien roba más. Como corromper una Comunidad Autónoma con el beneplácito de la Fiscalia General y de la prensa.
http://www.youtube.com/watch?v=1lxPXa8XEzI&feature=related
http://www.youtube.com/watch?v=2C2QYEX7K_s",http://www.youtube.com/watch?v=1lxPXa8XEzI&feature=related,Aragón,PSOE - PAR,Aragón
260,262,2004-2010,"La alcaldesa acepta ""regalos"" en forma de dinero para agilizar los tramites en la construcción.
[74]
[75]",http://www.abc.es/20100315/madrid-madrid/alcaldesa-boalo-imputada-20100315.html,El Boalo,PP,Madrid
261,263,2008-2011,"Evasión de divisas a Costa Rica, Suiza y otros paises.
[76].Corrupcion urbanistica, en dar permisos de edificacion en suelo no edificable agricola. Subestacion electrica. 
[77]",http://www.manoslimpias.es/index.php?option=com_content&task=view&id=247,Forallac,CIU,Gerona
262,264,2008-2011,"El extraño caso de Silvia Clemente, consejera de Agricultura, carga diversas facturas de comidas ropas y otros materiales a las cuentas de su consejería. [78][79]
Pdf con las facturas [80]",http://www.elplural.com/politica/elplural-com-desvela-las-facturas-de-la-consejera-de-agricultura-salpicada-tambien-por-la-‘gurtel’/,Valladolid,PP,Valladolid
263,265,2009,"El Ayuntamiento de Escucha recupera la ""mansión"" del médico, construida cuando este era alcalde de la localidad. http://www.heraldo.es/noticias/teruel/el_ayuntamiento_escucha_recupera_para_servicios_sociales_lujosa_casa_del_medico.html",http://www.heraldo.es/noticias/teruel/el_ayuntamiento_escucha_recupera_para_servicios_sociales_lujosa_casa_del_medico.html,Escucha,PSOE,Teruel
264,266,2011 Mayo,"La 2ª teniente de alcalde (y mujer del alcalde) compró una casa y pagó el metro cuadrado a 549 euros en 2005. El resto de la promoción, realizada sobre una zona verde del PGOU que recalificó Toscano (alcalde), se vendió a 1.838 euros el metro, según los propietarios. http://www.abcdesevilla.es/20110518/provincia/sevi-ganga-inmobiliaria-para-mujer-201105172234.html",http://www.abcdesevilla.es/20110518/provincia/sevi-ganga-inmobiliaria-para-mujer-201105172234.html,Dos Hermanas,PSOE,Sevilla
265,267,2008,"El ex alcalde de Orihuela y ex consejero de Obras Públicas de Zaplana, Luis Fernando Cartagena, fue condenado en julio de 2008 por delitos de falsedad en un documento mercantil y malversación de caudales públicos.
http://www.elpais.com/todo-sobre/persona/Luis/Fernando/Cartagena/Travesedo/3590/
http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=426241",http://www.elpais.com/todo-sobre/persona/Luis/Fernando/Cartagena/Travesedo/3590/,Orihuela,PP,Alicante
266,268,2007 Junio,"José Miguel LLorca, presidente en funciones del Ayuntamiento de La Vila, no acabó la carrera y sus rivales políticos le cercan para arrebatarle la Alcaldía - Un supuesto médico que usó su consulta como trampolín político. http://www.elpais.com/articulo/Comunidad/Valenciana/supuesto/medico/uso/consulta/trampolin/politico/elpepuespval/20070606elpval_12/Tes",http://www.elpais.com/articulo/Comunidad/Valenciana/supuesto/medico/uso/consulta/trampolin/politico/elpepuespval/20070606elpval_12/Tes,La Vila Joiosa,PP,Alicante
267,269,2001-2011,"Tres políticos imputados a día de hoy en un caso de presunta prevaricación en la concesión de una licencia urbanística en Sariñena vuelven a concurrir a las elecciones: Antonio Torres encabeza la lista de Huesca a las Cortes de Aragón por el PP mientras que en la del PSOE, Lorena Canales, ocupa el quinto puesto; por lo que ambos serán diputados autonómicos después de los comicios de 22 de mayo. Por su parte, Rafael Alastrué, después de desmarcarse del PAR durante este mandato siguió de concejal, y ahora encabeza la lista del nuevo partido Compromiso por Aragón.
http://www.heraldo.es/noticias/el_fiscal_pide_que_archive_caso_una_presunta_prevaricacion_canales_torres.html
http://www.diariodelaltoaragon.es/NoticiasDetalle.aspx?Id=561345",http://www.heraldo.es/noticias/el_fiscal_pide_que_archive_caso_una_presunta_prevaricacion_canales_torres.html,Sariñena,PP-PSOE-PAR,Huesca
268,270,2003-2009,"Desfalco de 8 millones de euros en la caja del Ayuntamiento de San Fernando a manos de varios funcionarios. A día de hoy, sólo hay tres responsables imputados en libertad con cargos, y sin repercusión política alguna.
http://www.elpais.com/articulo/andalucia/desfalco/San/Fernando/supera/76/millones/euros/elpepiespand/20090422elpand_8/Tes",http://www.elpais.com/articulo/andalucia/desfalco/San/Fernando/supera/76/millones/euros/elpepiespand/20090422elpand_8/Tes,San Fernando,PP-PA,Cádiz
269,271,2008-2011,"Ayuntamiento instala aerogeneradores a 300m. de las casas del pueblo por solo 5000 euros al año.
http://www.lygeum.es/?p=846",http://www.lygeum.es/?p=846,Cadrete,PP,Zaragoza
270,272,2010,"Financiación ilegal. Lina Insa aparece en un nuevo documento relacionado con la trama Gürtel
http://www.ontinyentdigital.com/noticia.php?idn=5291",http://www.ontinyentdigital.com/noticia.php?idn=5291,Ontinyent,PP,Valencia
271,273,2004-2011, Operación Minas. El juez prefiere escuchar a los testigos antes de confirmar a los 13 imputados por la policia. http://www.heraldo.es/noticias/aragon/la_operacion_minas_reactiva_despues_las_elecciones_con_las_primeras_citaciones_del_juez.html,http://www.heraldo.es/noticias/aragon/la_operacion_minas_reactiva_despues_las_elecciones_con_las_primeras_citaciones_del_juez.html,Zaragoza,PAR,Aragón
272,274,2006-2010, El consistorio recibe en 2010 una factura de 6.000€ por llamadas telefonicas de un movil a cargo del ayuntamiento a un telefono erotico. El movil fue contratado en el 2006 por un concejal de la Plataforma Independiente Municipal y se desconoce quien es su usuario y si es uno de los empleados de la entidad municipal. http://www.larazon.es/noticia/9956-el-telefono-caliente-de-villalbilla,http://www.larazon.es/noticia/9956-el-telefono-caliente-de-villalbilla,Villalbilla,PIM,Madrid
273,275,2000-2010,Hacienda acredita que Aranade pagó comisiones a la alcaldesa Pinilla durante 10 años. http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=675446.  http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=685045,http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=675446,La Muela,PAR,Aragón
274,276,2007,"El juez imputa por prevaricación a la gerente del Salud y su antecesor y estos en su declaración implican a la consejera.
http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=676809
http://www.aragondigital.es/asp/noticia.asp?notid=84204&secid=9",http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=676809,Zaragoza,PSOE,Aragón
275,277,2011,"El Ayuntamiento de Herrera acaba en los tribunales por impago de 1,8 millones a contratistas. Regido por mayoria absoluta del PAR.  La Sociedad Municipal para el Desarrollo de Herrera SA tiene como gerente a la mujer del alcalde, Jesús Sola.  Heraldo de Aragón, 8 de junio de 2011.",,Herrera de los Navarros,PAR,Aragón
276,278,2011,"El Gobierno de Aragón, en funciones, firma concesiones por 38 años, casi el doble de lo permitido por la ley. http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=678464",http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=678464,Aragón,PSOE- PAR,Aragón
277,279,2011,"Dos jueces imputan a Pinilla por falsedad, estafa y prevaricación.
http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=680800",http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=680800,La Muela,PAR,Aragón
278,280,2011,El marido de Carmen Chacón (Ministra de Defensa ) se beneficia de un concurso de loterias y apuestas del estado para publicidad valorado en 21 millones de euros. http://www.alertadigital.com/2011/06/20/el-marido-de-carmen-chacon-gana-el-concurso-publicitario-de-loterias-y-apuestas/,http://www.alertadigital.com/2011/06/20/el-marido-de-carmen-chacon-gana-el-concurso-publicitario-de-loterias-y-apuestas/,Madrid,PSOE,Madrid
279,281,2011,"El número 2 de Fabra recibe 18 fincas de herencia de una vecina
http://www.lasprovincias.es/v/20110617/comunitat/alcalde-vall-alba-recibe-20110617.html",http://www.lasprovincias.es/v/20110617/comunitat/alcalde-vall-alba-recibe-20110617.html,Vall D´Alba,PP,Castellón
280,282,2011,"Los jueces investigan contratas de la DGA por valor de 400 millones.  Más  de 354 millones corresponden a la adjudicación de depuradoras por el PAR. http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=681415
http://www.heraldo.es/noticias/aragon/la_fiscalia_lleva_juez_primer_bloque_posibles_contratos_irregulares_dga.html",http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=681415,Aragón,PAR,Aragón
281,283,2011,"El Presidente de la Cortes, Sr. Biel pretende colocar como Letrado mayor de las Cortes a una persona ajena a la institución y alto cargo del PAR.  http://www.heraldo.es/noticias/aragon/biel_quiere_colocar_como_letrado_mayor_las_cortes_dirigente_del_par.html
http://www.heraldo.es/noticias/aragon/cha_cargan_contra_biel_por_pretender_que_cargo_del_par_sea_letrado_mayor.html",http://www.heraldo.es/noticias/aragon/biel_quiere_colocar_como_letrado_mayor_las_cortes_dirigente_del_par.html,Aragón,PAR,Aragón
282,284,2008,"Irregularidad contable del Ayuntamiento de Zaragoza en los proyectos complementarios a la Expo.
http://www.heraldo.es/noticias/aragon/la_juez_del_caso_los_pagos_irregulares_por_expo_renuncia_ahora_por_amistad_intima_con_belloch.html",http://www.heraldo.es/noticias/aragon/la_juez_del_caso_los_pagos_irregulares_por_expo_renuncia_ahora_por_amistad_intima_con_belloch.html,Zaragoza,PSOE,Aragón
283,285,2009,Fiscalía reactiva el caso del exconcejal zaragozano Becerril al pedir imputar a 3 empresarios.  http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=684814,http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=684814,Zaragoza,PSOE,Aragón
284,286,2011,Otra condena a la DGA por ir en contra de una firma envuelta en la Operación Minas. http://www.heraldo.es/noticias/aragon/otra_condena_dga_por_contra_una_firma_envuelta_operacion_minas.html,http://www.heraldo.es/noticias/aragon/otra_condena_dga_por_contra_una_firma_envuelta_operacion_minas.html,Aragón,PAR,Aragón
285,287,2011,Pinilla declara como imputada por una presunta estafa en una permuta de suelo. http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=687252,http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=687252,La Muela,PAR,Aragón
286,288,2011,Isabel Carrasco cobra de la Caja kilómetros hechos con el coche oficial http://www.leonoticias.com/frontend/leonoticias/Carrasco-Cobra-De-Caja-Espana-Los-Kilometros-Que-Hace-Con-El-vn72947-vst216,http://www.leonoticias.com/frontend/leonoticias/Carrasco-Cobra-De-Caja-Espana-Los-Kilometros-Que-Hace-Con-El-vn72947-vst216,León,PP,León
287,289,2011 Septiembre,Detenidos el exalcalde de Ronda y otros tres ediles del PSOE por irregularidades urbanísticas y blanqueo de capitales[[81]],http://politica.elpais.com/politica/2011/09/27/actualidad/1317109254_675584.html,Ronda,PSOE,Málaga
288,290,2011 Septiembre,Una auxiliar administrativo que cobraba 75.000 euros despedida-por-cobrar-el-doble-que-el-alcalde-sin-constancia-de-su-trabajo[[82]],http://www.publico.es/espana/400191/despedida-por-cobrar-el-doble-que-el-alcalde-sin-constancia-de-su-trabajo,Los Barrios,PSOE,Cádiz
289,291,2011 Octubre,http://www.elperiodicodearagon.com/noticias/aragon/una-jueza-imputa-numero-2-de-dpz-por-forzar-que-le-quiten-una-multa_709345.html,http://www.elperiodicodearagon.com/noticias/aragon/una-jueza-imputa-numero-2-de-dpz-por-forzar-que-le-quiten-una-multa_709345.html,Zaragoza,PAR,Aragón
290,292,2009 Agosto,http://www.heraldo.es/noticias/el_presidente_campo_belchite_adjudica_esposa_obras_plenas.html,http://www.heraldo.es/noticias/el_presidente_campo_belchite_adjudica_esposa_obras_plenas.html,Comarca de Belchite,PAR,Aragón
291,293,2011 Noviembre,"El ex alcalde socialista  y actual delegado provincial de Obras Públicas y Vivienda de la Junta de Andalucía, Miguel Ángel Domínguez, pagó con la tarjeta de crédito del Ayuntamiento 3.685 euros en un prostíbulo de Sevilla cuando aún ocupaba la Alcaldía.http://www.elmundo.es/elmundo/2011/11/25/andalucia/1322208688.html",http://www.elmundo.es/elmundo/2011/11/25/andalucia/1322208688.html,Valverde del Camino,PSOE,Andalucia
292,294,2010 Marzo 23,"Un policía local de Alcalá presenta una querella criminal acusando al alcalde Bartolomé González, el jefe de la Policía Local y otro agente propietario del Gimnasio Olimpia de “presuntos delitos de prevaricación, grave discriminación en el empleo y lesiones”.http://www.alcaladigital.com/Enero2012/131201/alcala/3.html",http://www.alcaladigital.com/Enero2012/131201/alcala/3.html,Alcalá de Henares,PP,Madrid
293,295,2012,El exalcalde de Majadahonda  Guillermo Ortega desvió 28.000 euros del Consistorio a su cuenta http://ccaa.elpais.com/ccaa/2012/02/06/madrid/1328560022_155117.html,http://ccaa.elpais.com/ccaa/2012/02/06/madrid/1328560022_155117.html,Majadahonda,PP,Madrid
294,296,2010,Inhabilitado el alcalde Antonio Blanco por delitos urbanísticos [83].,http://www.diariosur.es/v/20100916/interior/alcalde-alozaina-acepta-veinte-20100916.html,Alozaina,IU,Málaga
295,297,2009,"Condenados e inhabilitados el alcalde, Victoriano García Cuadra (IU), y el edil de Urbanismo, José Antonio Alcoba García (PP) [84].",http://www.diariosur.es/20090609/malaga/alcaldes-axarquia-unidos-contra-20090609.html,Arenas,IU y PP,Málaga
296,298,2008,"Enrique Bolín (GIB-BOLIN –actualmente BOLI-, y antes PP –y ex-senador del PP-) fue inhabilitado por un delito de prevaricación urbanística [85].",http://es.wikipedia.org/wiki/Enrique_Bol%C3%ADn,Benalmádena,GIB-BOLIN,Málaga
297,299,2011,"Condenado e inhabilitado el alcalde, Óscar Román, por delito de prevaricación urbanística [86].",http://www.laopiniondemalaga.es/municipios/2011/01/13/condenan-ex-alcalde-carratraca-ano-carcel/394283.html,Carratraca,IU,Málaga
